name,asin,affiliate_url,validation_status,original_product_link,normalized_product_link,candidate_main_image_link,amazon_image_search_link,source_status,source_notes,validation_notes
Adult Unisex Pickle costume X-Large,B08BX6D1W4,https://www.amazon.com/dp/B08BX6D1W4?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B08BX6D1W4,https://www.amazon.com/dp/B08BX6D1W4,https://images.amazon.com/images/P/B08BX6D1W4.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Adult+Unisex+Pickle+costume+X-Large,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Listerine Ready! Tabs Chewable Tablets with Clean Mint Flavor, Revolutionary 4-Hour Fresh Breath Tablets to Help Fight Bad Breath On-the-Go, Sugar-Free & Alcohol-Free, 72 CT",B088VCG8JH,https://www.amazon.com/dp/B088VCG8JH?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B088VCG8JH,https://www.amazon.com/dp/B088VCG8JH,https://images.amazon.com/images/P/B088VCG8JH.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Listerine+Ready%21+Tabs+Chewable+Tablets+with+Clean+Mint+Flavor%2C+Revolutionary+4-Hour+Fresh+Breath+Tablets+to+Help+Fight+Bad+Breath+On-the-Go%2C+Sugar-Free+%26+Alcohol-Free%2C+72+CT,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Zolee Large Rave Folding Hand Fan with Bamboo Ribs for Men/Women - Chinese Japanese Handheld Fan with Fabric Case - for Dance Music Festival Party, Performance, Decorations, Gift (Bling Round)",B07QXLKP1R,https://www.amazon.com/dp/B07QXLKP1R?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B07QXLKP1R,https://www.amazon.com/dp/B07QXLKP1R,https://images.amazon.com/images/P/B07QXLKP1R.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Zolee+Large+Rave+Folding+Hand+Fan+with+Bamboo+Ribs+for+Men%2FWomen+-+Chinese+Japanese+Handheld+Fan+with+Fabric+Case+-+for+Dance+Music+Festival+Party%2C+Performance%2C+Decorations%2C+Gift+%28Bling+Round%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Bloch Women's Grecian Sandal Dance Shoe, Black, 9.5",B0002UUHCY,https://www.amazon.com/dp/B0002UUHCY?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0002UUHCY,https://www.amazon.com/dp/B0002UUHCY,https://images.amazon.com/images/P/B0002UUHCY.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Bloch+Women%27s+Grecian+Sandal+Dance+Shoe%2C+Black%2C+9.5,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"HXYOO Ballroom Dance Shoes Boots for Women Salsa Latin Wedding Party 2 1/2 inch Heel S206(Black-2 1/2"",9.5)",B092HMKD3H,https://www.amazon.com/dp/B092HMKD3H?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B092HMKD3H,https://www.amazon.com/dp/B092HMKD3H,https://images.amazon.com/images/P/B092HMKD3H.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=HXYOO+Ballroom+Dance+Shoes+Boots+for+Women+Salsa+Latin+Wedding+Party+2+1%2F2+inch+Heel+S206%28Black-2+1%2F2%22%2C9.5%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Convenience Kits International Women's 15 Pc Kit Featuring: Palmer's Hair, Face & Body Travel-size Products",B08HK9WS7S,https://www.amazon.com/dp/B08HK9WS7S?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B08HK9WS7S,https://www.amazon.com/dp/B08HK9WS7S,https://images.amazon.com/images/P/B08HK9WS7S.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Convenience+Kits+International+Women%27s+15+Pc+Kit+Featuring%3A+Palmer%27s+Hair%2C+Face+%26+Body+Travel-size+Products,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"adidas Women's Superlite Performance Visor, Grey Six/Rose Gold/Heather Grey, One Size",B07RMS5MGR,https://www.amazon.com/dp/B07RMS5MGR?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B07RMS5MGR,https://www.amazon.com/dp/B07RMS5MGR,https://images.amazon.com/images/P/B07RMS5MGR.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=adidas+Women%27s+Superlite+Performance+Visor%2C+Grey+Six%2FRose+Gold%2FHeather+Grey%2C+One+Size,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"USHAKE Slim Running Belt, Ultra Light Bounce Free Waist Pouch Fitness Workout Belt Sport Waist Pack Exercise Waist Bag for Apple iPhone 8 X 7 6+ 5s Samsung in Running Gym Marathon Cycling(04BK)",B073XSHTWR,https://www.amazon.com/dp/B073XSHTWR?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B073XSHTWR,https://www.amazon.com/dp/B073XSHTWR,https://images.amazon.com/images/P/B073XSHTWR.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=USHAKE+Slim+Running+Belt%2C+Ultra+Light+Bounce+Free+Waist+Pouch+Fitness+Workout+Belt+Sport+Waist+Pack+Exercise+Waist+Bag+for+Apple+iPhone+8+X+7+6%2B+5s+Samsung+in+Running+Gym+Marathon+Cycling%2804BK%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Isadora Paccini Women's 6-Pack Fishnet Lace Pantyhose Tights, Queen, Black 809Q",B0CGY45BM9,https://www.amazon.com/dp/B0CGY45BM9?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0CGY45BM9,https://www.amazon.com/dp/B0CGY45BM9,https://images.amazon.com/images/P/B0CGY45BM9.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Isadora+Paccini+Women%27s+6-Pack+Fishnet+Lace+Pantyhose+Tights%2C+Queen%2C+Black+809Q,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Volpeblu 24 Pack Light Up Cups LED Flash Shot Glasses for Party Favors Supplies Adults Guests Glow In The Dark Shot Glasses Fun Plastic Party Cups for Birthday, Bar, Christmas, Halloween (2 OZ)",B0B8V45YHP,https://www.amazon.com/dp/B0B8V45YHP?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0B8V45YHP,https://www.amazon.com/dp/B0B8V45YHP,https://images.amazon.com/images/P/B0B8V45YHP.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Volpeblu+24+Pack+Light+Up+Cups+LED+Flash+Shot+Glasses+for+Party+Favors+Supplies+Adults+Guests+Glow+In+The+Dark+Shot+Glasses+Fun+Plastic+Party+Cups+for+Birthday%2C+Bar%2C+Christmas%2C+Halloween+%282+OZ%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Tioncy 2 Pcs Bling Rhinestone Portable Pill Case with Keychain Small Pill Organizer Medicine Container Purse Pill Holder Dispenser Bottle Storage for Women Outdoor Camping Travel(Pink, White)",B0CFB4ZGHV,https://www.amazon.com/dp/B0CFB4ZGHV?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0CFB4ZGHV,https://www.amazon.com/dp/B0CFB4ZGHV,https://images.amazon.com/images/P/B0CFB4ZGHV.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Tioncy+2+Pcs+Bling+Rhinestone+Portable+Pill+Case+with+Keychain+Small+Pill+Organizer+Medicine+Container+Purse+Pill+Holder+Dispenser+Bottle+Storage+for+Women+Outdoor+Camping+Travel%28Pink%2C+White%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
WLLHYF 2 Pieces Bling Pill Container Waterproof Pill Bottle Case Portable Travel Pill Holder Medicine Dispenser Pocket Pill Box Storage Bottle with Keychain for Travel Outdoor Camping,B0C1SQ3B9Y,https://www.amazon.com/dp/B0C1SQ3B9Y?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0C1SQ3B9Y,https://www.amazon.com/dp/B0C1SQ3B9Y,https://images.amazon.com/images/P/B0C1SQ3B9Y.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=WLLHYF+2+Pieces+Bling+Pill+Container+Waterproof+Pill+Bottle+Case+Portable+Travel+Pill+Holder+Medicine+Dispenser+Pocket+Pill+Box+Storage+Bottle+with+Keychain+for+Travel+Outdoor+Camping,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
Ablanczoom Hoodies for Women Casual Full Zip Up Hoodie Comfortable Womens Long Hoodies Fashion Sweatshirt with Pockets,B08HRV3TR3,https://www.amazon.com/dp/B08HRV3TR3?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B08HRV3TR3,https://www.amazon.com/dp/B08HRV3TR3,https://images.amazon.com/images/P/B08HRV3TR3.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Ablanczoom+Hoodies+for+Women+Casual+Full+Zip+Up+Hoodie+Comfortable+Womens+Long+Hoodies+Fashion+Sweatshirt+with+Pockets,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
eye patches bath bombs etc,,,needs_exact_product,,https://www.amazon.com/s?k=under+eye+patches+bath+bombs+spa+kit,,https://www.amazon.com/s?k=under+eye+patches+bath+bombs+spa+kit,Search fallback - needs exact product,Original row was too vague and had no product URL; replaced with Amazon search fallback. Confidence: Low.,No ASIN found; do not publish as product affiliate link until exact product is selected. Search fallback only; select exact Amazon product/ASIN first.
"Mebak Piercing Aftercare Swabs, Saline Solution for Piercings,Earring Nose Belly Ear Piercing Cleaner,Keloid Bump Removal Treatment, 50Pcs Swabs for Travel",B0BWJJQKG6,https://www.amazon.com/dp/B0BWJJQKG6?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0BWJJQKG6,https://www.amazon.com/dp/B0BWJJQKG6,https://images.amazon.com/images/P/B0BWJJQKG6.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Mebak+Piercing+Aftercare+Swabs%2C+Saline+Solution+for+Piercings%2CEarring+Nose+Belly+Ear+Piercing+Cleaner%2CKeloid+Bump+Removal+Treatment%2C+50Pcs+Swabs+for+Travel,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"A ALFEEL 2 Pack Large Folding Rave Fan for Women/Men Holographic Festival Bamboo Clack Hand Fan Decorative Accessories for EDM, Music Festival, Event, Party, Dance, Performance,Halloween (Style-1)",B0C5LR17SB,https://www.amazon.com/dp/B0C5LR17SB?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0C5LR17SB,https://www.amazon.com/dp/B0C5LR17SB,https://images.amazon.com/images/P/B0C5LR17SB.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=A+ALFEEL+2+Pack+Large+Folding+Rave+Fan+for+Women%2FMen+Holographic+Festival+Bamboo+Clack+Hand+Fan+Decorative+Accessories+for+EDM%2C+Music+Festival%2C+Event%2C+Party%2C+Dance%2C+Performance%2CHalloween+%28Style-1%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
CARCOS Women's Mesh Tops Plus Size See Through Sheer Spiderweb Tops Mock Neck Long Sleeve Sexy Shirts Turtleneck Clubwear Black Pure Mesh T Shirt XL 14W 16W,B0BG7ZFG7Z,https://www.amazon.com/dp/B0BG7ZFG7Z?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0BG7ZFG7Z,https://www.amazon.com/dp/B0BG7ZFG7Z,https://images.amazon.com/images/P/B0BG7ZFG7Z.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=CARCOS+Women%27s+Mesh+Tops+Plus+Size+See+Through+Sheer+Spiderweb+Tops+Mock+Neck+Long+Sleeve+Sexy+Shirts+Turtleneck+Clubwear+Black+Pure+Mesh+T+Shirt+XL+14W+16W,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
Porvike 3-Pack Sports Crop Tank Tops - Women's Cotton Racerback Yoga & Gym Shirts M (Black/Grey/Army Green),B08X6RM32P,https://www.amazon.com/dp/B08X6RM32P?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B08X6RM32P,https://www.amazon.com/dp/B08X6RM32P,https://images.amazon.com/images/P/B08X6RM32P.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Porvike+3-Pack+Sports+Crop+Tank+Tops+-+Women%27s+Cotton+Racerback+Yoga+%26+Gym+Shirts+M+%28Black%2FGrey%2FArmy+Green%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
Dokotoo Womens Ladies Athletic Basic Ribbed Thick Strap Low Cut Solid Color Tight Slimming Fitted Sleeveless Shirts Sports Workout Long Tank Tops for Women Activewear Tops Wine L,B08Q36VHJL,https://www.amazon.com/dp/B08Q36VHJL?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B08Q36VHJL,https://www.amazon.com/dp/B08Q36VHJL,https://images.amazon.com/images/P/B08Q36VHJL.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Dokotoo+Womens+Ladies+Athletic+Basic+Ribbed+Thick+Strap+Low+Cut+Solid+Color+Tight+Slimming+Fitted+Sleeveless+Shirts+Sports+Workout+Long+Tank+Tops+for+Women+Activewear+Tops+Wine+L,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
DOBREVA Women's Push Up Bra Racerback Front Closure Bras Lace Padded Underwire Plunge Floral Black 36C,B07B9SNVG1,https://www.amazon.com/dp/B07B9SNVG1?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B07B9SNVG1,https://www.amazon.com/dp/B07B9SNVG1,https://images.amazon.com/images/P/B07B9SNVG1.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=DOBREVA+Women%27s+Push+Up+Bra+Racerback+Front+Closure+Bras+Lace+Padded+Underwire+Plunge+Floral+Black+36C,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Clarks Women's Breeze Sea Flip-Flop, New White Synthetic, 10",B01FH9F35K,https://www.amazon.com/dp/B01FH9F35K?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B01FH9F35K,https://www.amazon.com/dp/B01FH9F35K,https://images.amazon.com/images/P/B01FH9F35K.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Clarks+Women%27s+Breeze+Sea+Flip-Flop%2C+New+White+Synthetic%2C+10,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Drawer Organizer Clothes, 8 Pack Underwear Drawer Organizer, Foldable Closet Organizers and Storage Dresser Drawer Dividers for Clothes, Socks, Scarves, Ties (Gray)",B0925XQ4NZ,https://www.amazon.com/dp/B0925XQ4NZ?tag=onasafari04-20&linkCode=ll2&language=en_US,verify_variant,https://www.amazon.com/your-orders/orders,https://www.amazon.com/dp/B0925XQ4NZ,https://images.amazon.com/images/P/B0925XQ4NZ.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Drawer+Organizer+Clothes%2C+8+Pack+Underwear+Drawer+Organizer%2C+Foldable+Closet+Organizers+and+Storage+Dresser+Drawer+Dividers+for+Clothes%2C+Socks%2C+Scarves%2C+Ties+%28Gray%29,Fixed with likely public product link,"Likely exact replacement from Amazon.com result: Criusia Drawer Organizer Clothes, 8 Pack ... (Gray). Confidence: High. Verify exact variant before publishing; use PA-API/SiteStripe for affiliate-compliant production images.",Original URL was private/non-product; use canonical affiliate URL after verifying variant.
"Halloween Headbands - 2 Pack Pumpkin Hat Headbands for Halloween Costume Party - Adults and Kids Orange, Green",B07DYMH79K,https://www.amazon.com/dp/B07DYMH79K?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B07DYMH79K,https://www.amazon.com/dp/B07DYMH79K,https://images.amazon.com/images/P/B07DYMH79K.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Halloween+Headbands+-+2+Pack+Pumpkin+Hat+Headbands+for+Halloween+Costume+Party+-+Adults+and+Kids+Orange%2C+Green,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
6 Sheets Halloween Adhesive Felt Sticker Pumpkin Ghost Stickers Classic Pumpkin Expressions Face Clothes Stickers Decoration Style Felt Pad for Halloween DIY Projects Costume Party Decor(Black),B0B17JS8LC,https://www.amazon.com/dp/B0B17JS8LC?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0B17JS8LC,https://www.amazon.com/dp/B0B17JS8LC,https://images.amazon.com/images/P/B0B17JS8LC.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=6+Sheets+Halloween+Adhesive+Felt+Sticker+Pumpkin+Ghost+Stickers+Classic+Pumpkin+Expressions+Face+Clothes+Stickers+Decoration+Style+Felt+Pad+for+Halloween+DIY+Projects+Costume+Party+Decor%28Black%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Shoe Dryer and Deodorizer -Enhanced Deodorising, Boot Dryer with Timer Shoes Socks Heater Boots Warmer, No Noise | Durable Wire | US Plug",B0CG9FFK4Z,https://www.amazon.com/dp/B0CG9FFK4Z?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0CG9FFK4Z,https://www.amazon.com/dp/B0CG9FFK4Z,https://images.amazon.com/images/P/B0CG9FFK4Z.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Shoe+Dryer+and+Deodorizer+-Enhanced+Deodorising%2C+Boot+Dryer+with+Timer+Shoes+Socks+Heater+Boots+Warmer%2C+No+Noise+%7C+Durable+Wire+%7C+US+Plug,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
URBAN DECAY 24/7 Moondust Eyeshadow Compact - Long-Lasting Shimmery Eye Makeup and Highlight - Up to 16 Hour Wear - Vegan Formula – Space Cowboy (Champagne Gold Silver Sparkle),B092JT62XB,https://www.amazon.com/dp/B092JT62XB?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B092JT62XB,https://www.amazon.com/dp/B092JT62XB,https://images.amazon.com/images/P/B092JT62XB.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=URBAN+DECAY+24%2F7+Moondust+Eyeshadow+Compact+-+Long-Lasting+Shimmery+Eye+Makeup+and+Highlight+-+Up+to+16+Hour+Wear+-+Vegan+Formula+%E2%80%93+Space+Cowboy+%28Champagne+Gold+Silver+Sparkle%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"DARENYI 16""x12"" Acrylic Mirror Sheet, Flexible Non Glass Body Mirror Tiles Full Length Mirror Large Self Adhesive Mirror Stickers for Bathroom Bedroom Home Wall Decor (4pcs)",B0BRPVSBYN,https://www.amazon.com/dp/B0BRPVSBYN?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B0BRPVSBYN,https://www.amazon.com/dp/B0BRPVSBYN,https://images.amazon.com/images/P/B0BRPVSBYN.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=DARENYI+16%22x12%22+Acrylic+Mirror+Sheet%2C+Flexible+Non+Glass+Body+Mirror+Tiles+Full+Length+Mirror+Large+Self+Adhesive+Mirror+Stickers+for+Bathroom+Bedroom+Home+Wall+Decor+%284pcs%29,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
"Escolite UV Flashlight Black Light, 51 LED 395 nM Ultraviolet Blacklight Detector for Dog Urine, Pet Stains and Bed Bug",B008133KB4,https://www.amazon.com/dp/B008133KB4?tag=onasafari04-20&linkCode=ll2&language=en_US,ready,https://www.amazon.com/dp/B008133KB4,https://www.amazon.com/dp/B008133KB4,https://images.amazon.com/images/P/B008133KB4.01.LZZZZZZZ.jpg,https://www.amazon.com/s?k=Escolite+UV+Flashlight+Black+Light%2C+51+LED+395+nM+Ultraviolet+Blacklight+Detector+for+Dog+Urine%2C+Pet+Stains+and+Bed+Bug,ASIN found,"Verify image URL before publishing; for affiliate-compliant production images, prefer Amazon PA-API/SiteStripe.",
